id,city,postalcode,coord_X,coord_Y,dist,bearing,house_quality_index,house_state_index,age_since_construction,age_since_renovation,floors,basement,bedrooms,baths,living_m2,lot_m2,living_vs_neighbors,lot_vs_neighbors,viewsToPOI,view_quality,dow,month
73,Willow,10019,7396.197890336813,-8733.128453498435,16634.508646403472,151.5608405018763,5,OK,78,10,1,Yes,4,2.0,217,3695,1.1993074696988568,1.0109606420075774,N,Very Disatisfied,Wed,9
13,Willow,10028,2137.481653630948,-4303.743567995762,21226.730780158203,-107.895078763096,4,OK,69,10,1,Yes,3,1.75,129,1442,1.0214646514424448,1.1173482628968159,N,Very Disatisfied,Wed,11
18,Willow,10022,-19731.118934794547,-1680.4790670271245,22145.503184868387,-126.211117,4,OK,64,65,1,Yes,4,2.0,117,605,1.1509353132986617,0.9530066297037862,N,Very Disatisfied,Tue,7
36,Willow,10051,1056.424029658101,-10176.291480547685,5404.305460410081,69.28409960179238,4,OK,70,41,1,Yes,4,1.5,131,658,1.0809179170564391,0.9509099566152455,N,Very Disatisfied,Mon,7
12,Willow,10050,13136.666093163672,11774.814361744326,13632.500794132158,-37.22302629151112,4,OK,93,69,1,No,2,0.75,74,382,0.8014389498564312,0.9870815531590568,N,Very Disatisfied,Fri,6
28,Willow,10019,-20324.85207962637,-10746.34310396697,23795.148125831955,105.69793878474361,5,OK,5,10,1,No,4,2.5,205,1148,1.1972191637020513,0.8174027929773092,N,Very Disatisfied,Thu,6
73,Willow,10023,-4716.209582068155,-15787.942857932125,8017.078226721643,142.07273655371267,6,OK,31,14,3,No,3,2.5,219,911,1.1139148733964686,0.6233814890014748,N,Very Disatisfied,Tue,2
17,Willow,10034,-15123.572355026006,-13851.320342509927,10693.071912523128,-117.52146063774988,4,Very Satisfied,46,26,3,No,3,2.0,134,1087,1.004106989772578,1.093292675472256,N,Very Disatisfied,Wed,2
62,Willow,10015,13395.736034536922,-13720.403924167393,6878.844612379753,125.9855367512784,6,OK,29,13,1,Yes,4,2.25,215,1069,1.0795814995950839,0.5967244762960521,N,Very Disatisfied,Tue,10
20,Willow,10022,2472.737500668394,-2429.8180378398743,13087.823485058516,-100.85767502097671,7,OK,20,17,3,No,3,2.25,90,493,0.8758733121841012,0.938928094762074,N,Very Disatisfied,Tue,7
4,Willow,10014,-12436.343591682511,-12990.632814230928,7610.5609327847005,-111.33043015910918,4,Satisfied,38,13,1,No,3,1.75,164,1061,1.0934929656811112,1.1419559650371163,N,Very Disatisfied,Wed,8
13,Willow,10041,21446.968799071394,7429.494580741819,26941.907672899302,59.64256939886941,4,OK,54,70,3,No,4,1.5,91,434,0.942015968731718,0.8551470393484113,N,Very Disatisfied,Wed,7
27,Willow,10051,10112.563955670237,9898.536855887261,20495.91579597524,64.82024398281665,4,OK,116,32,3,Yes,5,2.5,236,696,2.040132113267803,0.9379092889392119,N,Very Disatisfied,Mon,1
65,Willow,10025,8934.245486485952,-10002.826909691807,26251.397931932046,96.54622990772893,3,OK,88,60,1,Yes,4,2.5,224,1100,1.0331112947798387,0.970730505200337,N,Very Disatisfied,Wed,3
38,Willow,10049,21819.962774683594,6171.0374932766135,23041.517600887826,45.761859705487694,4,Satisfied,99,82,2,No,3,0.75,125,996,0.991159996414294,0.8697737618014373,N,Very Disatisfied,Mon,9
59,Willow,10021,4366.017284513975,14836.456513297295,25290.521506436595,128.49437024202186,6,OK,64,14,1,No,4,2.5,167,629,1.0669970431110651,0.9552277465262692,N,Very Disatisfied,Thu,7
35,Willow,10028,-11984.220556799843,13655.433288193335,25205.116712243715,-92.5545114612493,4,OK,69,83,2,Yes,3,2.5,193,4274,1.2283168427724784,1.0132961005907404,N,Very Disatisfied,Wed,11
60,Willow,10033,-19636.001190211726,-11628.738978303192,23361.51716341425,-29.356524952669993,5,OK,72,88,1,Yes,4,2.75,228,7051,1.5150621874270112,1.0683779297228564,N,Very Disatisfied,Wed,10
1,Willow,10056,6554.223035674144,12704.073984755332,17827.44662401862,44.23299680313006,4,Satisfied,60,54,1,No,2,0.75,74,758,0.5359563701936345,0.9911929492125567,N,Very Disatisfied,Wed,6
52,Willow,10046,15445.110900384227,10872.667411008522,24022.4805939103,10.557128307597367,3,OK,67,74,2,No,3,1.0,74,251,0.8964867677362075,0.8679536634865264,N,Very Disatisfied,Mon,9
